,concept_id,concept_name,child_pair,group_code
69,10003550,Electronic commerce,10003557,10010405
69,10003550,Electronic commerce,10003596,10010405
70,10010406,Enterprise computing,10003228,10010405
70,10010406,Enterprise computing,10010412,10010405
70,10010406,Enterprise computing,10010417,10010405
70,10010406,Enterprise computing,10010421,10010405
70,10010406,Enterprise computing,10010422,10010405
70,10010406,Enterprise computing,10010423,10010405
70,10010406,Enterprise computing,10010424,10010405
70,10010406,Enterprise computing,10010425,10010405
70,10010406,Enterprise computing,10010426,10010405
70,10010406,Enterprise computing,10010427,10010405
70,10010406,Enterprise computing,10010428,10010405
70,10010406,Enterprise computing,10010429,10010405
70,10010406,Enterprise computing,10010430,10010405
70,10010406,Enterprise computing,10010431,10010405
70,10010406,Enterprise computing,10011731,10010405
71,10010432,Physical sciences and engineering,10010433,10010405
71,10010432,Physical sciences and engineering,10010434,10010405
71,10010432,Physical sciences and engineering,10010435,10010405
71,10010432,Physical sciences and engineering,10010436,10010405
71,10010432,Physical sciences and engineering,10010437,10010405
71,10010432,Physical sciences and engineering,10010439,10010405
71,10010432,Physical sciences and engineering,10010441,10010405
71,10010432,Physical sciences and engineering,10010442,10010405
71,10010432,Physical sciences and engineering,10010443,10010405
71,10010432,Physical sciences and engineering,10010988,10010405
72,10010444,Life and medical sciences,10010087,10010405
72,10010444,Life and medical sciences,10010093,10010405
72,10010444,Life and medical sciences,10010095,10010405
72,10010444,Life and medical sciences,10010446,10010405
72,10010444,Life and medical sciences,10010447,10010405
72,10010444,Life and medical sciences,10010449,10010405
72,10010444,Life and medical sciences,10010450,10010405
72,10010444,Life and medical sciences,10010452,10010405
72,10010444,Life and medical sciences,10010935,10010405
73,10010455,"Law, social and behavioral sciences",10010456,10010405
73,10010455,"Law, social and behavioral sciences",10010458,10010405
73,10010455,"Law, social and behavioral sciences",10010459,10010405
73,10010455,"Law, social and behavioral sciences",10010460,10010405
73,10010455,"Law, social and behavioral sciences",10010461,10010405
